filename	date	fastq_ftp	plant	is_enriched
SRR18340988_2.fastq.gz	2021-07-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/088/SRR18340988/SRR18340988_2.fastq.gz	ESC	1
SRR14530767_1.fastq.gz	2020-08-11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/067/SRR14530767/SRR14530767_1.fastq.gz	HTP	0
SRR14530767_2.fastq.gz	2020-08-11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/067/SRR14530767/SRR14530767_2.fastq.gz	HTP	0
SRR14530790_1.fastq.gz	2020-08-11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/090/SRR14530790/SRR14530790_1.fastq.gz	HTP	1
SRR14530790_2.fastq.gz	2020-08-11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/090/SRR14530790/SRR14530790_2.fastq.gz	HTP	1
SRR14530766_1.fastq.gz	2020-08-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/066/SRR14530766/SRR14530766_1.fastq.gz	HTP	0
SRR14530766_2.fastq.gz	2020-08-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/066/SRR14530766/SRR14530766_2.fastq.gz	HTP	0
SRR14530779_1.fastq.gz	2020-08-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/079/SRR14530779/SRR14530779_1.fastq.gz	HTP	1
SRR14530779_2.fastq.gz	2020-08-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/079/SRR14530779/SRR14530779_2.fastq.gz	HTP	1
SRR14530765_1.fastq.gz	2020-08-25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/065/SRR14530765/SRR14530765_1.fastq.gz	HTP	0
SRR14530765_2.fastq.gz	2020-08-25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/065/SRR14530765/SRR14530765_2.fastq.gz	HTP	0
SRR14530768_1.fastq.gz	2020-08-25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/068/SRR14530768/SRR14530768_1.fastq.gz	HTP	1
SRR14530768_2.fastq.gz	2020-08-25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/068/SRR14530768/SRR14530768_2.fastq.gz	HTP	1
SRR14530757_1.fastq.gz	2020-09-01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/057/SRR14530757/SRR14530757_1.fastq.gz	HTP	1
SRR14530757_2.fastq.gz	2020-09-01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/057/SRR14530757/SRR14530757_2.fastq.gz	HTP	1
SRR14530764_1.fastq.gz	2020-09-01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/064/SRR14530764/SRR14530764_1.fastq.gz	HTP	0
SRR14530764_2.fastq.gz	2020-09-01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/064/SRR14530764/SRR14530764_2.fastq.gz	HTP	0
SRR14530746_1.fastq.gz	2020-09-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/046/SRR14530746/SRR14530746_1.fastq.gz	HTP	1
SRR14530746_2.fastq.gz	2020-09-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/046/SRR14530746/SRR14530746_2.fastq.gz	HTP	1
SRR14530763_1.fastq.gz	2020-09-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/063/SRR14530763/SRR14530763_1.fastq.gz	HTP	0
SRR14530763_2.fastq.gz	2020-09-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/063/SRR14530763/SRR14530763_2.fastq.gz	HTP	0
SRR14530735_1.fastq.gz	2020-09-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/035/SRR14530735/SRR14530735_1.fastq.gz	HTP	1
SRR14530735_2.fastq.gz	2020-09-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/035/SRR14530735/SRR14530735_2.fastq.gz	HTP	1
SRR14530762_1.fastq.gz	2020-09-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/062/SRR14530762/SRR14530762_1.fastq.gz	HTP	0
SRR14530762_2.fastq.gz	2020-09-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/062/SRR14530762/SRR14530762_2.fastq.gz	HTP	0
SRR14530843_1.fastq.gz	2020-09-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/043/SRR14530843/SRR14530843_1.fastq.gz	HTP	1
SRR14530843_2.fastq.gz	2020-09-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/043/SRR14530843/SRR14530843_2.fastq.gz	HTP	1
SRR14530881_1.fastq.gz	2020-09-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/081/SRR14530881/SRR14530881_1.fastq.gz	HTP	0
SRR14530881_2.fastq.gz	2020-09-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/081/SRR14530881/SRR14530881_2.fastq.gz	HTP	0
SRR14530842_1.fastq.gz	2020-09-29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/042/SRR14530842/SRR14530842_1.fastq.gz	HTP	1
SRR14530842_2.fastq.gz	2020-09-29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/042/SRR14530842/SRR14530842_2.fastq.gz	HTP	1
SRR14530880_1.fastq.gz	2020-09-29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/080/SRR14530880/SRR14530880_1.fastq.gz	HTP	0
SRR14530880_2.fastq.gz	2020-09-29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/080/SRR14530880/SRR14530880_2.fastq.gz	HTP	0
SRR14530772_1.fastq.gz	2020-10-02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/072/SRR14530772/SRR14530772_1.fastq.gz	HTP	0
SRR14530772_2.fastq.gz	2020-10-02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/072/SRR14530772/SRR14530772_2.fastq.gz	HTP	0
SRR14530820_1.fastq.gz	2020-10-02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/020/SRR14530820/SRR14530820_1.fastq.gz	HTP	1
SRR14530820_2.fastq.gz	2020-10-02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/020/SRR14530820/SRR14530820_2.fastq.gz	HTP	1
SRR14530771_1.fastq.gz	2020-10-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/071/SRR14530771/SRR14530771_1.fastq.gz	HTP	0
SRR14530771_2.fastq.gz	2020-10-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/071/SRR14530771/SRR14530771_2.fastq.gz	HTP	0
SRR14530819_1.fastq.gz	2020-10-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/019/SRR14530819/SRR14530819_1.fastq.gz	HTP	1
SRR14530819_2.fastq.gz	2020-10-13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/019/SRR14530819/SRR14530819_2.fastq.gz	HTP	1
SRR14530770_1.fastq.gz	2020-10-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/070/SRR14530770/SRR14530770_1.fastq.gz	HTP	0
SRR14530770_2.fastq.gz	2020-10-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/070/SRR14530770/SRR14530770_2.fastq.gz	HTP	0
SRR14530812_1.fastq.gz	2020-10-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/012/SRR14530812/SRR14530812_1.fastq.gz	HTP	1
SRR14530812_2.fastq.gz	2020-10-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/012/SRR14530812/SRR14530812_2.fastq.gz	HTP	1
SRR14530769_1.fastq.gz	2020-10-27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/069/SRR14530769/SRR14530769_1.fastq.gz	HTP	0
SRR14530769_2.fastq.gz	2020-10-27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/069/SRR14530769/SRR14530769_2.fastq.gz	HTP	0
SRR14530801_1.fastq.gz	2020-10-27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/001/SRR14530801/SRR14530801_1.fastq.gz	HTP	1
